,Unnamed: 0,Pothole number,Bags used ,area
0,0,101,0.5,63705.19848771267
1,1,102,1.0,29383.59375
2,2,106,0.5,2735.121951219512
3,3,107,0.5,7498.573127229489
4,4,109,0.5,27674.00147928994
5,5,110,2.0,105525.0
6,6,111,0.5,37568.01035502958
7,7,112,0.5,40903.28719723184
9,9,115,2.0,106305.0
10,10,116,1.0,165255.55555555556
11,11,117,3.0,85713.15789473685
12,12,118,2.0,255733.3333333333
13,13,119,1.0,1027.3807659174563
14,14,120,1.0,49795.847750865054
15,15,121,0.5,660303.0
16,16,122,4.0,68750.0
17,17,123,3.0,173422.265625
18,18,124,1.0,43962.1875
20,20,126,0.5,15169.444444444443
22,22,128,1.0,229548.21428571432
23,23,129,0.5,389402.47933884297
24,24,132,2.0,339609.375
25,25,133,1.0,90145.97107438016
26,26,134,1.0,18302.76
27,27,135,3.0,279809.4674556213
28,28,136,3.0,140175.0
29,29,138,1.0,22819.38775510204
30,30,139,1.0,297675.0
31,31,140,1.0,326025.0
32,32,141,1.0,390060.0
33,33,142,3.0,15296.88581314879
34,34,145,1.0,4046.655328798186
35,35,146,1.0,24892.12278106509
36,36,147,1.0,95163.57421875
37,37,148,2.0,48945.375
39,39,150,2.0,51979.86111111111
40,40,404,2.0,120887.57396449705
41,41,405,1.5,52281.81818181818
42,42,407,1.5,127179.58579881657
43,43,408,0.25,20640.306122448983
44,44,409,0.25,366909.91735537193
45,45,410,1.0,593250.0
46,46,411,0.5,137025.0
47,47,412,1.0,69213.77551020408
48,48,413,0.5,48000.0
49,49,414,2.5,99512.5
50,50,415,2.5,142392.0
51,51,416,1.5,152989.34911242602
53,53,418,0.5,113049.0
54,54,419,0.5,2930.0338189386057
55,55,420,2.5,112555.10204081632
56,56,421,0.5,117866.66666666666
57,57,422,2.0,172604.6875
58,58,423,0.25,226076.7857142857
59,59,424,0.25,12584.0
60,60,425,0.5,1988.417013527576
61,61,426,0.5,3941.28
62,62,427,1.0,73183.16326530612
63,63,428,0.5,48441.0
65,65,430,0.5,1653.0470914127425
66,66,431,1.0,37524.39446366782
67,67,432,1.0,277924.5
68,68,433,0.5,83686.22448979593
69,69,435,0.5,44632.6530612245
70,70,437,1.0,57389.0625
71,71,438,1.0,125100.0
72,72,439,1.0,109006.25
73,73,440,0.5,33690.166204986155
74,74,441,0.5,390060.0
75,75,442,0.5,28485.9375
76,76,443,0.5,20937.5
77,77,444,0.5,30406.640625
78,78,445,0.5,7916.666666666666
79,79,446,0.5,34938.77551020408
80,80,447,0.5,24122.263313609463
81,81,448,2.0,81898.4429065744
82,82,449,1.0,184482.0
83,83,451,0.5,15932.8125
84,84,452,2.0,99918.3673469388
86,86,454,0.5,42427.0
87,87,455,0.5,16377.777777777776
88,88,456,0.5,16374.0234375
89,89,460,0.5,19736.77685950413
90,90,461,0.5,24800.0
91,91,462,0.5,65089.28571428572
92,92,463,1.0,30769.921875
93,93,465,0.5,7069.113573407203
94,94,466,0.5,63367.34693877552
95,95,467,0.5,43717.62759924386
96,96,468,0.5,27539.0625
97,97,469,0.5,35436.56509695291
98,98,471,0.5,13315.512465373962
99,99,472,0.5,59788.4765625
100,100,474,0.5,21476.25
101,101,475,0.5,60390.53254437869
102,102,476,0.5,89484.375
103,103,477,0.5,6465.495867768595
104,104,478,1.5,60900.0
105,105,497,2.0,134400.0
107,107,499,1.5,25289.0
108,108,500,1.0,49940.30451019821
109,109,1032,0.25,66027.5147928994
110,110,1033,0.25,21637.882653061228
111,111,1034,0.5,45450.0
112,112,1035,0.5,34301.65406427221
113,113,1036,0.5,90327.27272727274
114,114,1037,0.5,22955.102040816328
115,115,1038,0.5,164661.1111111111
116,116,1039,1.0,30172.314049586777
117,117,1041,0.25,6181.921487603306
118,118,1042,0.25,9546.124763705104
119,119,1043,0.25,5942.975206611571
120,120,1047,0.5,12081.521739130436
121,121,1048,0.5,177876.5625
122,122,1049,0.25,18975.0
123,123,1051,1.55,35208.0
124,124,1052,1.05,67357.6171875
126,126,1055,0.5,17800.0
127,127,1056,0.25,14576.66015625
128,128,1058,2.0,29657.03125
129,129,1059,0.25,25377.008310249308
130,130,1060,1.0,36610.34971644612
131,131,1061,0.5,26473.961218836568
132,132,1062,0.5,1358.1647828673408
133,133,1063,0.25,13588.468809073724
134,134,1064,0.25,11856.487889273358
136,136,1069,0.5,119531.25
137,137,1070,0.5,644.3072702331962
138,138,1071,0.5,141500.0
139,139,1072,0.55,28840.90909090909
140,140,1073,1.0,32100.619834710746
141,141,1074,1.0,32031.25
142,142,1075,0.5,7386.75
143,143,1076,0.25,11222.778827977316
144,144,1077,0.25,913.8811743701648
145,145,1078,0.25,134937.5
146,146,1079,0.25,10888.28125
147,147,1080,0.5,17702.440828402367
148,148,1081,0.5,8914.285714285714
149,149,1082,0.5,12017.950052029137
150,150,1083,1.0,37279.6875
151,151,1084,1.0,23947.15909090909
152,152,1087,0.5,34699.21875
153,153,1088,0.5,11811.6
155,155,1090,0.5,20138.888888888887
156,156,1091,0.5,17904.016620498616
157,157,1092,0.5,48528.10650887574
158,158,1095,0.5,17904.016620498616
159,159,1096,0.5,48528.10650887574
160,160,1097,0.25,13984.615384615385
161,161,1098,0.5,37430.859375
