,Unnamed: 0,Pothole number,Bags used ,area
0,0,101,0.5,49927.71670663723
1,1,102,1.0,22961.85161770259
2,2,106,0.5,2135.864374605007
3,3,107,0.5,5889.3655622275
4,4,109,0.5,21582.1838509926
5,5,110,2.0,82879.14119251573
6,6,111,0.5,29330.43880912512
7,7,112,0.5,31992.066365102983
9,9,115,2.0,82975.74516661362
10,10,116,1.0,129791.4098245583
11,11,117,3.0,67188.7460413796
12,12,118,2.0,200852.49031950743
13,13,119,1.0,800.0801699447873
14,14,120,1.0,39109.56736834837
15,15,121,0.5,514705.97399353737
16,16,122,4.0,53852.13407028504
17,17,123,3.0,136205.5289140994
18,18,124,1.0,34279.09554056333
20,20,126,0.5,11820.242359131596
22,22,128,1.0,179945.93920811825
23,23,129,0.5,305835.9920951401
24,24,132,2.0,266264.70360729867
25,25,133,1.0,70662.4674876858
26,26,134,1.0,14374.954089104282
27,27,135,3.0,219761.84184086305
28,28,136,3.0,110093.18755423732
29,29,138,1.0,17836.55257609552
30,30,139,1.0,233793.39828933543
31,31,140,1.0,256059.4362216531
32,32,141,1.0,304797.3192512818
33,33,142,3.0,11975.01199721286
34,34,145,1.0,3154.0592911040385
35,35,146,1.0,19407.23509081505
36,36,147,1.0,74286.39441109552
37,37,148,2.0,34756.27301042912
39,39,150,2.0,40526.54523130833
40,40,404,2.0,94526.61919233194
41,41,405,1.5,41062.04397907932
42,42,407,1.5,99503.90577812286
43,43,408,0.25,16106.272336529102
44,44,409,0.25,288170.37522321864
45,45,410,1.0,465112.7923639689
46,46,411,0.5,107619.18333953536
47,47,412,1.0,54057.83358927008
48,48,413,0.5,37545.237917187405
49,49,414,2.5,77970.40267128168
50,50,415,2.5,111513.9728318233
51,51,416,1.5,120458.70056367964
53,53,418,0.5,88413.84204997755
54,54,419,0.5,2293.7957911544727
55,55,420,2.5,88169.75953503436
56,56,421,0.5,92153.3845053006
57,57,422,2.0,134744.8724078747
58,58,423,0.25,177219.4855837528
59,59,424,0.25,9801.769079200156
60,60,425,0.5,1544.6436304070526
61,61,426,0.5,3069.461686263371
62,62,427,1.0,57173.78058854485
63,63,428,0.5,37699.11184307752
65,65,430,0.5,1289.9240196076098
66,66,431,1.0,29365.19486081241
67,67,432,1.0,217669.9593929492
68,68,433,0.5,65456.52550559856
69,69,435,0.5,35054.40374184121
70,70,437,1.0,44951.77300820083
71,71,438,1.0,98253.31024102078
72,72,439,1.0,85613.30854884308
73,73,440,0.5,26363.27087198039
74,74,441,0.5,304797.3192512818
75,75,442,0.5,22300.399101966297
76,76,443,0.5,16362.46173744684
77,77,444,0.5,23795.72357399722
78,78,445,0.5,6217.735460229798
79,79,446,0.5,27440.85011707004
80,80,447,0.5,18871.86308830981
81,81,448,2.0,64140.6688347447
82,82,449,1.0,144368.74880306536
83,83,451,0.5,12513.601675255908
84,84,452,2.0,78475.70220395729
86,86,454,0.5,32999.28923330719
87,87,455,0.5,12799.081181291747
88,88,456,0.5,12764.867728311574
89,89,460,0.5,15416.522131283302
90,90,461,0.5,19477.87445225672
91,91,462,0.5,50850.52394649806
92,92,463,1.0,23991.45952253143
93,93,465,0.5,5500.18032378141
94,94,466,0.5,49624.34109956123
95,95,467,0.5,34121.61578537904
96,96,468,0.5,21629.12910918754
97,97,469,0.5,27831.813144260934
98,98,471,0.5,10362.034273211542
99,99,472,0.5,46801.75383839091
100,100,474,0.5,16867.40730666445
101,101,475,0.5,47430.613346948856
102,102,476,0.5,70077.15112913733
103,103,477,0.5,5077.988579999246
104,104,478,1.5,47830.748150904605
105,105,497,2.0,105557.51316061705
107,107,499,1.5,19603.53815840031
108,108,500,1.0,39146.26605739273
109,109,1032,0.25,51571.381178825344
110,110,1033,0.25,16939.35538841854
111,111,1034,0.5,35342.917352885175
112,112,1035,0.5,26751.047463318
113,113,1036,0.5,70942.87410470042
114,114,1037,0.5,18028.89498345816
115,115,1038,0.5,128857.65867474134
116,116,1039,1.0,23697.28003999648
117,117,1041,0.25,4810.72602315718
118,118,1042,0.25,7456.086156109613
119,119,1043,0.25,4667.601812389298
120,120,1047,0.5,9368.211476789336
121,121,1048,0.5,139703.9254989514
122,122,1049,0.25,14782.938764391973
123,123,1051,1.55,27652.29853689736
